Price,終値,高値,安値,始値,出来高
Ticker,8308.T,8308.T,8308.T,8308.T,8308.T
Date,,,,,
2021-03-25,404.464599609375,408.0034542945116,399.37211425308556,400.4941779221672,12251200
2021-03-26,408.0034484863281,416.63478840488165,407.3992441557258,413.7001117599662,16007800
2021-03-29,408.4349670410156,413.4411330637313,402.4793221309584,411.97379491530296,24495000
2021-03-30,419.1159362792969,421.49929384713414,401.63807057685034,402.0794310939678,19883800
2021-03-31,410.28863525390625,416.90904154740844,409.58246935800025,414.43743397323516,18151400
2021-04-01,410.81829833984375,417.4387050393637,409.8472999695467,414.702264882528,15052600
2021-04-02,407.02264404296875,414.34921730755485,404.19792616781166,412.2306923704401,7714800
2021-04-05,417.6152648925781,420.08687264732583,408.61150090020385,408.61150090020385,10978500
2021-04-06,404.90411376953125,418.58628860364723,400.04914850581264,418.58628860364723,13878200
2021-04-07,404.99237060546875,409.22944742818055,401.46148672246204,408.6115319732519,9215700
2021-04-08,395.458984375,404.28619384765625,390.6922966474667,404.02138833887875,12755800
2021-04-09,396.51824951171875,401.9911030729373,395.1941681268023,398.81330236143685,9747800
2021-04-12,401.46148681640625,405.7868411249066,399.4312393586047,402.2559572410736,14864800
2021-04-13,397.6658020019531,403.31521089352486,397.57752451613817,400.75532543593056,7357400
2021-04-14,393.51702880859375,394.1349443119217,387.2497309761649,392.2812247404462,8239100
2021-04-15,397.7540588378906,403.9331053850529,397.22442088900425,398.7250572544314,5683200
2021-04-16,398.460205078125,401.2849227066294,395.98859735706145,398.5484825549852,12307100
2021-04-19,400.4022521972656,402.69733219190016,396.78309069863116,400.57878023469465,8444800
2021-04-20,399.3428955078125,401.6379750385905,396.783010505157,399.96081086019564,12459500
2021-04-21,388.57373046875,391.48669850976887,384.4249316820842,390.0743397565314,13844000
2021-04-22,388.9268798828125,394.13492842048817,387.0731603860785,392.98740189029945,8770500
2021-04-23,388.397216796875,389.98610372655094,384.1601670254022,387.7793013583869,7539300
2021-04-26,387.2497253417969,392.72257954639593,385.8373663108169,391.83985851934693,7007000
2021-04-27,395.9886474609375,398.54853298275987,388.30896395696317,388.39724144499297,14915900
2021-04-28,398.6368103027344,402.5207773278455,397.0478963343886,399.8726143191097,9101100
2021-04-30,396.34173583984375,404.02141944777827,396.16518086139405,401.28497891285286,14444700
2021-05-06,413.20166015625,417.350432237993,405.25717202782243,405.5219775233684,14417200
2021-05-07,410.73004150390625,416.9973655487814,410.1121530106683,413.28995377383785,8770100
2021-05-10,413.2899169921875,415.3201641926484,409.22939565276283,410.02383903822573,6609900
2021-05-11,408.7880554199219,413.46646542873697,407.3756965879292,412.2306615526824,9242400
2021-05-12,407.37567138671875,413.11335689920776,400.9318199711705,413.11335689920776,12696600
2021-05-13,413.4664611816406,418.85106402039384,403.84480882893615,404.19789179868144,14761800
2021-05-14,414.7905578613281,418.4097190466903,413.20167096946415,418.4097190466903,12209600
2021-05-17,416.9090881347656,421.8523307739952,413.20167635922235,417.0856430977223,9296400
